produto;sexo;idade_entrada;breakeven_exibido;breakeven_real;regra;resgate_10a_por_1mm;aportes_10a_por_1mm;pct_do_aportado
PRUDENTIAL_VIDA_INTEIRA_10;M;34;10;10;FIXO;430180.00;414841.40;103.70
PRUDENTIAL_VIDA_INTEIRA_10;M;35;10;10;FIXO;440640.00;419207.00;105.11
PRUDENTIAL_VIDA_INTEIRA_10;M;36;10;10;FIXO;451260.00;421986.50;106.94
PRUDENTIAL_VIDA_INTEIRA_10;M;37;10;10;FIXO;462040.00;431069.90;107.18
PRUDENTIAL_VIDA_INTEIRA_10;M;38;10;10;FIXO;472990.00;442618.60;106.86
PRUDENTIAL_VIDA_INTEIRA_10;M;39;10;10;FIXO;484100.00;454460.40;106.52
PRUDENTIAL_VIDA_INTEIRA_10;M;40;10;10;FIXO;495360.00;466588.30;106.17
PRUDENTIAL_VIDA_INTEIRA_10;M;41;10;10;FIXO;506770.00;478995.30;105.80
PRUDENTIAL_VIDA_INTEIRA_10;M;42;10;10;FIXO;518300.00;491687.30;105.41
PRUDENTIAL_VIDA_INTEIRA_10;M;43;10;10;FIXO;529930.00;504677.50;105.00
PRUDENTIAL_VIDA_INTEIRA_10;M;44;10;10;FIXO;541650.00;517968.80;104.57
PRUDENTIAL_VIDA_INTEIRA_10;M;45;10;10;FIXO;553430.00;531582.40;104.11
